id,status,duration,start_date,start_station,end_date,end_station
519528,Closed,1243,2012-08-30 07:32:00-04,25,2012-08-30 07:53:00-04,80,T01015,Registered,02118,1985,Female
519529,Closed,513,2012-08-30 07:32:00-04,45,2012-08-30 07:41:00-04,21,T01135,Registered,02215,1977,Male
519530,Closed,914,2012-08-30 07:32:00-04,40,2012-08-30 07:48:00-04,21,T01159,Registered,02116,1989,Male
519531,Closed,270,2012-08-30 07:32:00-04,53,2012-08-30 07:37:00-04,67
519532,Closed,845,2012-08-30 07:32:00-04,75,2012-08-30 07:47:00-04,13
519533,Closed,338,2012-08-30 07:33:00-04,46,2012-08-30 07:39:00-04,39
519534,Closed,468,2012-08-30 07:33:00-04,61,2012-08-30 07:41:00-04,35
519535,Closed,291,2012-08-30 07:34:00-04,47,2012-08-30 07:39:00-04,48
519536,Closed,746,2012-08-30 07:34:00-04,16,2012-08-30 07:46:00-04,14
519537,Closed,521,2012-08-30 07:34:00-04,61,2012-08-30 07:43:00-04,39
519538,Closed,606,2012-08-30 07:34:00-04,4,2012-08-30 07:45:00-04,60
519539,Closed,291,2012-08-30 07:35:00-04,59,2012-08-30 07:39:00-04,50
519540,Closed,536,2012-08-30 07:35:00-04,46,2012-08-30 07:44:00-04,3
519541,Closed,427,2012-08-30 07:35:00-04,4,2012-08-30 07:42:00-04,22,T01243,Registered,02116,1983,Male
519542,Closed,521,2012-08-30 07:36:00-04,60,2012-08-30 07:44:00-04,64,T01368,Registered,02114,1987,Female
519543,Closed,600,2012-08-30 07:36:00-04,39,2012-08-30 07:46:00-04,35,T01322,Registered,02118,1981,Male
519544,Closed,204,2012-08-30 07:36:00-04,22,2012-08-30 07:40:00-04,48,T01088,Registered,02492,1966,Male
519545,Closed,187,2012-08-30 07:36:00-04,64,2012-08-30 07:40:00-04,22,T01439,Registered,02210,1974,Male
519546,Closed,566,2012-08-30 07:37:00-04,38,2012-08-30 07:47:00-04,22,T01143,Registered,01773,1968,Male
519547,Closed,421,2012-08-30 07:38:00-04,39,2012-08-30 07:45:00-04,52,T01152,Registered,02118,1987,Male
519548,Closed,418,2012-08-30 07:38:00-04,39,2012-08-30 07:45:00-04,52,T01184,Registered,02118,1987,Male
519549,Closed,1117,2012-08-30 07:38:00-04,53,2012-08-30 07:57:00-04,38
519550,Closed,1797,2012-08-30 07:38:00-04,40,2012-08-30 08:08:00-04,24
519551,Closed,38641,2012-08-30 07:38:00-04,39,2012-08-30 18:22:00-04,39
519552,Closed,763,2012-08-30 07:39:00-04,40,2012-08-30 07:51:00-04,35
519553,Closed,1248,2012-08-30 07:39:00-04,44,2012-08-30 08:00:00-04,11
519555,Closed,549,2012-08-30 07:40:00-04,4,2012-08-30 07:50:00-04,48
519556,Closed,2754,2012-08-30 07:40:00-04,19,2012-08-30 08:26:00-04,72,T01334,Registered,02446,1987,Male
519557,Closed,646,2012-08-30 07:41:00-04,53,2012-08-30 07:52:00-04,23,T01436,Registered,02115,1989,Male
519558,Closed,558,2012-08-30 07:41:00-04,54,2012-08-30 07:50:00-04,39
519559,Closed,741,2012-08-30 07:41:00-04,45,2012-08-30 07:54:00-04,35
519560,Closed,988,2012-08-30 07:42:00-04,76,2012-08-30 07:59:00-04,35
519561,Closed,421,2012-08-30 07:43:00-04,58,2012-08-30 07:50:00-04,61,T01036,Registered,02108,1983,Male
519562,Closed,959,2012-08-30 07:43:00-04,16,2012-08-30 07:59:00-04,38
519563,Closed,309,2012-08-30 07:43:00-04,40,2012-08-30 07:48:00-04,48
519564,Closed,1269,2012-08-30 07:43:00-04,22,2012-08-30 08:04:00-04,32
519565,Closed,575,2012-08-30 07:43:00-04,42,2012-08-30 07:53:00-04,31,T01339,Registered,02210,1982,Male
519566,Closed,560,2012-08-30 07:44:00-04,38,2012-08-30 07:53:00-04,42,T01111,Registered,01876,1975,Male
519567,Closed,418,2012-08-30 07:44:00-04,38,2012-08-30 07:51:00-04,48,T01364,Registered,01890,1966,Male
519568,Closed,478,2012-08-30 07:44:00-04,40,2012-08-30 07:52:00-04,64,T01183,Registered,02113,1982,Male
519569,Closed,412,2012-08-30 07:44:00-04,22,2012-08-30 07:51:00-04,58,T01095,Registered,02066,1967,Male
519570,Closed,377,2012-08-30 07:44:00-04,50,2012-08-30 07:50:00-04,54,T01037,Registered,02116,1955,Male
519571,Closed,1747,2012-08-30 07:45:00-04,22,2012-08-30 08:14:00-04,60
519572,Closed,369,2012-08-30 07:44:00-04,22,2012-08-30 07:50:00-04,42
519573,Closed,636,2012-08-30 07:44:00-04,33,2012-08-30 07:55:00-04,67
