id,status,duration,start_date,start_station,end_date,end_station
552577,Closed,912,2012-09-10 07:47:00-04,81,2012-09-10 08:02:00-04,55
552578,Closed,417,2012-09-10 07:47:00-04,40,2012-09-10 07:54:00-04,64
552580,Closed,569,2012-09-10 07:48:00-04,49,2012-09-10 07:57:00-04,44
552581,Closed,353,2012-09-10 07:48:00-04,53,2012-09-10 07:54:00-04,75,T01437,Casual,,,
552582,Closed,853,2012-09-10 07:49:00-04,19,2012-09-10 08:03:00-04,37
552583,Closed,602,2012-09-10 07:49:00-04,22,2012-09-10 07:59:00-04,21,T01278,Registered,02122,1974,Male
552584,Closed,374,2012-09-10 07:49:00-04,4,2012-09-10 07:55:00-04,22,T01400,Registered,02116,1983,Male
552585,Closed,504,2012-09-10 07:49:00-04,60,2012-09-10 07:58:00-04,36
552588,Closed,730,2012-09-10 07:49:00-04,16,2012-09-10 08:02:00-04,75
552589,Closed,958,2012-09-10 07:50:00-04,38,2012-09-10 08:06:00-04,42,T01231,Registered,03051,1956,Male
552590,Closed,381,2012-09-10 07:50:00-04,59,2012-09-10 07:56:00-04,50
