id,status,duration,start_date,start_station,end_date,end_station
482657,Closed,565,2012-08-19 03:25:00-04,16,2012-08-19 03:34:00-04,46
482659,Closed,380,2012-08-19 03:41:00-04,74,2012-08-19 03:47:00-04,79,T01442,Registered,02145,1974,Male
482660,Closed,833,2012-08-19 03:48:00-04,59,2012-08-19 04:02:00-04,60,T01228,Casual,,,
482661,Closed,614,2012-08-19 03:51:00-04,59,2012-08-19 04:02:00-04,60,T01049,Casual,,,
482662,Closed,1384,2012-08-19 04:27:00-04,64,2012-08-19 04:50:00-04,64
482663,Closed,361,2012-08-19 04:44:00-04,6,2012-08-19 04:50:00-04,64
482664,Closed,1191,2012-08-19 04:59:00-04,41,2012-08-19 05:19:00-04,23
482665,Closed,460,2012-08-19 05:08:00-04,57,2012-08-19 05:16:00-04,45
482666,Closed,1087,2012-08-19 05:15:00-04,69,2012-08-19 05:33:00-04,22
482667,Closed,198,2012-08-19 05:17:00-04,53,2012-08-19 05:21:00-04,46
482668,Closed,1131,2012-08-19 05:18:00-04,48,2012-08-19 05:37:00-04,30
482669,Closed,12445,2012-08-19 05:50:00-04,36,2012-08-19 09:17:00-04,49,T01276,Casual,,,
482670,Closed,825,2012-08-19 06:37:00-04,32,2012-08-19 06:51:00-04,67,T01099,Registered,02215,1986,Male
482672,Closed,399,2012-08-19 06:45:00-04,22,2012-08-19 06:51:00-04,63
482673,Closed,381,2012-08-19 06:45:00-04,22,2012-08-19 06:51:00-04,63
482674,Closed,756,2012-08-19 06:51:00-04,41,2012-08-19 07:03:00-04,62
482675,Closed,1918,2012-08-19 06:53:00-04,53,2012-08-19 07:24:00-04,33
482676,Closed,857,2012-08-19 06:53:00-04,67,2012-08-19 07:08:00-04,66,T01099,Registered,02215,1986,Male
482677,Closed,4379,2012-08-19 06:55:00-04,36,2012-08-19 08:08:00-04,42,T01165,Casual,,,
482678,Closed,773,2012-08-19 06:54:00-04,47,2012-08-19 07:07:00-04,4
482679,Closed,403,2012-08-19 07:04:00-04,69,2012-08-19 07:11:00-04,11
482680,Closed,434,2012-08-19 07:08:00-04,52,2012-08-19 07:16:00-04,11,T01205,Registered,02115,1985,Female
482681,Closed,618,2012-08-19 07:08:00-04,39,2012-08-19 07:19:00-04,14
482682,Closed,1412,2012-08-19 07:16:00-04,47,2012-08-19 07:39:00-04,47
482683,Closed,684,2012-08-19 07:16:00-04,12,2012-08-19 07:27:00-04,61
482684,Closed,209,2012-08-19 07:20:00-04,6,2012-08-19 07:24:00-04,23,T01015,Registered,02114,1985,Male
482685,Closed,193,2012-08-19 07:21:00-04,6,2012-08-19 07:24:00-04,23,T01078,Registered,02114,1988,Female
482686,Closed,542,2012-08-19 07:24:00-04,66,2012-08-19 07:33:00-04,32,T01099,Registered,02215,1986,Male
482687,Closed,806,2012-08-19 07:27:00-04,61,2012-08-19 07:40:00-04,43
482688,Closed,375,2012-08-19 07:30:00-04,27,2012-08-19 07:36:00-04,11
482689,Closed,3200,2012-08-19 07:39:00-04,33,2012-08-19 08:33:00-04,74
482690,Closed,3237,2012-08-19 07:39:00-04,33,2012-08-19 08:33:00-04,74,T01233,Casual,,,
482691,Closed,365,2012-08-19 07:44:00-04,57,2012-08-19 07:50:00-04,49,T01352,Registered,02118,1972,Male
482692,Closed,1234,2012-08-19 07:45:00-04,79,2012-08-19 08:06:00-04,20,T01296,Registered,02138,1976,Male
482693,Closed,817,2012-08-19 07:46:00-04,4,2012-08-19 08:00:00-04,31
482695,Closed,1991,2012-08-19 08:01:00-04,58,2012-08-19 08:34:00-04,6,T01315,Registered,02116,1959,Male
482699,Closed,1930,2012-08-19 08:02:00-04,58,2012-08-19 08:34:00-04,6
482700,Closed,450,2012-08-19 08:03:00-04,76,2012-08-19 08:11:00-04,80
482701,Closed,268,2012-08-19 08:04:00-04,60,2012-08-19 08:08:00-04,50
482702,Closed,429,2012-08-19 08:05:00-04,39,2012-08-19 08:12:00-04,36
482703,Closed,564,2012-08-19 08:06:00-04,32,2012-08-19 08:15:00-04,27,T01099,Registered,02215,1946,Male
482704,Closed,3945,2012-08-19 08:12:00-04,16,2012-08-19 09:18:00-04,52
482705,Closed,3937,2012-08-19 08:12:00-04,16,2012-08-19 09:18:00-04,52,T01194,Casual,,,
482707,Closed,419,2012-08-19 08:18:00-04,36,2012-08-19 08:25:00-04,60,T01193,Registered,02114,1978,Male
482708,Closed,690,2012-08-19 08:20:00-04,32,2012-08-19 08:31:00-04,75
482710,Closed,151,2012-08-19 08:20:00-04,36,2012-08-19 08:22:00-04,21
482711,Closed,134,2012-08-19 08:20:00-04,55,2012-08-19 08:23:00-04,21,T01208,Registered,02215,1977,Male
482712,Closed,432,2012-08-19 08:22:00-04,39,2012-08-19 08:30:00-04,21
482713,Closed,440,2012-08-19 08:22:00-04,39,2012-08-19 08:30:00-04,21
482714,Closed,343,2012-08-19 08:24:00-04,39,2012-08-19 08:30:00-04,21,T01091,Casual,,,
482715,Closed,1074,2012-08-19 08:24:00-04,32,2012-08-19 08:42:00-04,65
482716,Closed,272,2012-08-19 08:26:00-04,53,2012-08-19 08:31:00-04,67,T01334,Registered,02215,1993,Male
482717,Closed,501,2012-08-19 08:27:00-04,60,2012-08-19 08:35:00-04,38
482718,Closed,410,2012-08-19 08:28:00-04,60,2012-08-19 08:35:00-04,38,T01049,Registered,02116,1958,Male
482719,Closed,1119,2012-08-19 08:30:00-04,72,2012-08-19 08:49:00-04,72,T01195,Casual,,,
