id,status,duration,start_date,start_station,end_date,end_station
615985,Closed,224,2012-09-28 08:17:00-04,27,2012-09-28 08:21:00-04,12
615986,Closed,499,2012-09-28 08:18:00-04,87,2012-09-28 08:26:00-04,73,T01243,Casual,,,
615988,Closed,442,2012-09-28 08:18:00-04,38,2012-09-28 08:26:00-04,48
615991,Closed,506,2012-09-28 08:19:00-04,88,2012-09-28 08:28:00-04,17
615992,Closed,758,2012-09-28 08:19:00-04,13,2012-09-28 08:32:00-04,30,T01374,Registered,02151,1977,Male
615993,Closed,610,2012-09-28 08:20:00-04,38,2012-09-28 08:30:00-04,22,T01015,Registered,03833,1967,Male
615994,Closed,671,2012-09-28 08:20:00-04,38,2012-09-28 08:31:00-04,48
615995,Closed,1082,2012-09-28 08:20:00-04,38,2012-09-28 08:38:00-04,91
615996,Closed,481,2012-09-28 08:20:00-04,43,2012-09-28 08:28:00-04,60
615997,Closed,1069,2012-09-28 08:20:00-04,88,2012-09-28 08:38:00-04,36
615998,Closed,221,2012-09-28 08:21:00-04,87,2012-09-28 08:25:00-04,17,T01007,Registered,02134,1983,Male
615999,Closed,412,2012-09-28 08:22:00-04,48,2012-09-28 08:29:00-04,24
616000,Closed,676,2012-09-28 08:22:00-04,17,2012-09-28 08:34:00-04,37,T01038,Registered,02139,1986,Male
616001,Closed,270,2012-09-28 08:22:00-04,20,2012-09-28 08:27:00-04,22,T01235,Registered,02113,1983,Male
616002,Closed,791,2012-09-28 08:23:00-04,43,2012-09-28 08:36:00-04,36,T01285,Registered,02025,1979,Male
616003,Closed,781,2012-09-28 08:24:00-04,98,2012-09-28 08:37:00-04,22
616005,Closed,535,2012-09-28 08:24:00-04,26,2012-09-28 08:33:00-04,22,T01214,Registered,02118,1980,Female
616006,Closed,265,2012-09-28 08:25:00-04,29,2012-09-28 08:29:00-04,15
616007,Closed,372,2012-09-28 08:25:00-04,40,2012-09-28 08:31:00-04,24,T01075,Registered,02109,1987,Male
